Title,Rating,Review_counts,City,Province,Reviews
"Holly Farm Vacation Suite, Victoria BC, peaceful",4.5,13,Victoria, British Columbia,Holly Farm is in an acreage-type area about  minutes north of downtown Victori...
View Cottage with Private Beach & Marina Access,3,3,Kelowna, British Columbia, mention of vacation rentals vacation rental through LC Lakeside Rental with Robert & Christine Z.
Love's Anchor by the Sea (oceanview rental),4.5,7,Upper Island Cove, Newfoundland and Labrador,The house had post it notes all over kitchen and information book (see attached)...
Oceanfront Vacation Rentals on Vancouver Island - Qualicum Beach Ocean Suites #5,,,Qualicum Beach, British Columbia,
Shorewood House,5,8,Shelburne, Nova Scotia," mentions of vacation rentals recommend the property management company, Sandy Lane Vacation Rentals."
Gorgeous 2 Bdr Suite Min from Blue Mountain!!,5,10,Collingwood, Ontario, mention of vacation rentals We booked this vacation rental for the first time on Trip Advisor and
Taluswood Ridge 21,5,3,Whistler, British Columbia, mention of vacation rentals townhouse is thoughtfully laid out and appointed for a ski vacation
Shetkston shores Cottage rental,4.5,2,Sherkston, Ontario,
"Forest Trails 16 - Large 3 bedroom, easy access to skiing, private garage",4,16,Whistler, British Columbia,inexpensive rental and customers deserve just a bit more attention
Qualicum Beach Ocean Suites #7 - Oceanfront Vacation Rentals on Vancouver Island,,,Qualicum Beach, British Columbia,
Oceanfront Vacation Rentals on Vancouver Island-Qualicum Beach Ocean Suites #1,,,Qualicum Beach, British Columbia,
Oceanfront Vacation Rentals on Vancouver Island-Qualicum Beach Ocean Suites #8,,,Qualicum Beach, British Columbia,
Oceanfront 2-bedroom Chalet at the Bay of Fundy,5,2,Parrsboro, Nova Scotia, mention of vacation rentals The owners of the Parrsboro Mansion also have two vacation rentals
Treeline Unit #27,4.5,16,Whistler, British Columbia,few minutes to the above parking lot in blackcomb. the rental service
Oceanfront Vacation Rentals on Vancouver Island-Qualicum Beach Ocean Suites #2,,,Qualicum Beach, British Columbia,
4 BDRM OCEANFRONT BEACH HOUSE-Sleeps 10/Hot Tub/Stairs to the Beach,3.5,4,Halfmoon Bay, British Columbia, mention of vacation rentals We recently enjoyed staying at this vacation rental for a week. The
Oceanfront Vacation Rentals on Vancouver Island-Qualicum Beach Ocean Suites #4,,,Qualicum Beach, British Columbia,
Cottage for Rent,4.5,2,Summerside, Prince Edward Island, mentions of vacation rentals that we didn't want to leave. I would highly recommend this rental to
Lakefront cabin rental,,,Saint Laurent, Manitoba,
Coles Bay Vacation Suite,5,23,North Saanich, British Columbia,"This is the best vacation house we have ever stayed, excellent"
Mont-Tremblant Treehouses - Les Refuges Perches,4,19,Mont Tremblant, Quebec,"Extras: canoe/kayak rental ($/day), the Tremblant village"
Spectacular Five Star Oceanfront Penthouse,5,14,Nanaimo, British Columbia, mention of vacation rentals find in a vacation rental. The views are spectacular throughout the day!
Sea Change Cottage is not available for the 2019 season,4.5,8,Barrington, Nova Scotia, mention of vacation rentals experience within the next three years at the same place if the cottage is still on the vacation rental market.
Kawarthas lakehouse rental,5,5,Fenelon Falls, Ontario,
Okanagan Romantic Suite. Private accomodation overlooking Kalamalka Lake.,5,35,Kelowna, British Columbia,My wife and I stayed for a week at Ian's lovely vacation apartment
Modern style ocean front home Gulf of St Lawrence,5,17,Inverness, Nova Scotia,were very comfy. If you are looking for a rental that has all the
Cozy Vacation House located in East Ottawa,3.5,2,Cumberland, Ontario,Lila was patiently waiting to welcome us at the house which was lovely and spaci...
Four Corners Cottage Rental on the Rideau Canal,4.5,4,Elgin, Ontario,"We stayed a whole week at the Four Corners Cottage, and as newlyweds my partner ..."
Brackley Bay Heights Martin Cottage,4.5,9,Brackley Beach, Prince Edward Island,This cozy Brackley Beach rental is very close to beaches of PEI
Loyalist Lofts Wellington apartment,5,21,Picton, Ontario,to vacation in Picton was included in our unit. I would highly
"Casa Norida Toronto, Short Term Rental",5,,Toronto, Ontario,
Fishing Point Vacation Home,5,,St. Anthony, Newfoundland and Labrador,
Waterfront Rental,,,Kincardine, Ontario,
VINTAGE VACATION * DOWNTOWN * NO TAX,5,4,Charlottetown, Prince Edward Island, star vacation house! Owners were so nice and inviting! Very clean
Beautiful Upscale Bayfield Lakeview,5,21,Bayfield, Ontario,We were very pleased with this rental. The owner's communication was
Sovereignty Rentals,4.5,5,Picton, Ontario,Very comfy bed and big screen TV. Walk to downtown Picton and short drive to Lake...
Waterfront Top Floor End Unit Condo at Fred Tibbs,3.5,3,Tofino, British Columbia, mention of vacation rentals the road. The sign says FREB TIBBS.  Main St vacation Rentals. We
Le Laurier Cottage: 2 Story House with Backyard + Breakfast on Demand,4.5,31,Montreal, Quebec,"my next vacation at the same place. Location is amazing, and liked the free parking :)"
Joli 41/2 abordable pres d'une piste cyclable *,5,12,Montreal, Quebec, mention of vacation rentals I cannot recommend this vacation rental enough. My husband and I came
MountainView Cottage,4.5,15,Rocky Harbour, Newfoundland and Labrador,"things even better. This was one stop on a  week,  stop vacation in"
Luxury Timber Frame on Cumming Lake,4.5,4,Thessalon, Ontario, mention of vacation rentals rental for years. This year we were a bit late and took vacation in
Ada's Place Vacation Home in Historic Trinty,5,14,Trinity, Newfoundland and Labrador,My wife and I have rented vacation homes across North America and
Hampton House Oceanfront Vacation Home,4.5,3,Bonavista, Newfoundland and Labrador,
3 Bedroom Cottage on Beautiful Horseshoe Lake,5,5,Parry Sound, Ontario, mention of vacation rentals This cottage has everything you would expect in a vacation getaway:
Bear Paw Lodge - Golden BC,5,30,Golden, British Columbia," mention of vacation rentals , for a summer vacation. The lodge is located ~ min outside of"
Stunning Kitsilano Townhse Near Beach. Sleeps 5.,5,11,Vancouver, British Columbia, mention of vacation rentals research on vacation rentals in the Richmond/Vancouver region and decided
"Welshtown Haven, Weekly Rental Vacation House.",5,,Shelburne, Nova Scotia,
The Taluswood Experience,4,9,Whistler, British Columbia,This location and home was perfect for our family ski vacation. We
nice apartment to rent for vacation,1,,Montreal, Quebec,"The listing subheaded ""In Ville Marie"" was not true. It was in West Montreal, abo..."
Noel Suites - York and Lakeshore,4.5,11,Toronto, Ontario,"other vacation activity, and you are truly in the middle of everything"
Whistler ski in ski out,5,20,Whistler, British Columbia," mention of vacation rentals requests such as, ski rentals, tickets, etc. We would book again."
Magic Lamp Cabin on St. Mary Lake,4,34,Salt Spring Island, British Columbia,bonus.For us it was very important our rental was dog friendly as well as
"Island View Cabin located in scenic Elliston,NL",5,35,Elliston, Newfoundland and Labrador,rental cabin we have ever stayed at. Everything you could ever need is there. Highly recommend this cabin.
Wofville Vacation Home,,,Wolfville, Nova Scotia,
Tofino Tree House,4,7,Tofino, British Columbia, mention of vacation rentals other vacation rental we've experienced. The living area is smallish
The Baker Suite,4.5,30,Nelson, British Columbia,"with the owners, and a fantastic location made this a superb vacation"
EXECUTIVE VACATION HOME (THREE BEDROOM DUPLEX),3,,Toronto, Ontario,
Auberge Nathalie Ora Guesthouse,5,10,Wedgeport, Nova Scotia," mention of vacation rentals vacation rental, including fresh beans to grind for morning coffee. And a"
Cozy Quiet 3 bedrooms home,5,5,Moncton, New Brunswick, mention of vacation rentals was great except the weather although what Gerald has done for vacation
"Private Island in Sans Souci, Spider Bay, Georgian",5,,Muskoka Lakes, Ontario, mention of vacation rentals East Island is definitely my favourite of all my vacation rentals so
2BD BEST LOCATION UPSCALE FURNITURE AT SQUARE ONE,5,,Mississauga, Ontario, mention of vacation rentals library and celebration square Perfect for a vacation rental I
Beautiful 1Bdrm Garden Apt with Private Rear Porch,4.5,9,Toronto, Ontario,around the city easily. I would definitely recommend this rental to anyone on a short or long term basis.
Gold Coast Retreat Haidaway Cabin Chesterman Beach,5,41,Tofino, British Columbia, mention of vacation rentals rental. I went with a group of friends and we all loved the outdoor bath
Kawartha Lakes Cottage Rentals Fenelon Falls,4,2,Fenelon Falls, Ontario,This cottage is on a well travelled (by boat) section of Fenlon Falls. As such it...
Thousand Island Waterfront Cottage Rental,,,Gananoque, Ontario,
Cassiar Cannery ~ where history and nature meet~,5,53,Prince Rupert, British Columbia,"this location, you could be guaranteed year round solid rentals. I am"
Nicely Priced 3BR 3BA on Lake with Stunning View,4.5,7,Mont Tremblant, Quebec, mention of vacation rentals vacation rental I have rented in over  years of vacationing. In short I
Cozy White Point Vacation House,4.5,10,Hunts Point, Nova Scotia,"Summerville Beach is easy to bike to, as well. The whole house really lives up to..."
"The Best Urban Cottage, Quiet Patio, Garden, Pond",4.5,19,Vancouver, British Columbia,We stayed in Garden House for a week in august for family vacation.
Lake Scugog Waterfront Cottage Rental with Internet,4,2,Kawartha Lakes, Ontario,Furnishings a little worn - not what was expected based on the rental
Vacation Loft Rental Repica Station,,,Alexandria, Ontario,
Family Cottage for rent in Tiny beaches year round,5,10,Tiny, Ontario,"need while on vacation. The cottage itself is up to date, clean and"
Georgian Bay/Cawaja Beach weeHouse Modern Cottage,5,25,Balm Beach, Ontario,recommend this cottage to anyone looking for a peaceful vacation on Georgian
EXECUTIVE VACATION HOME (TWO BEDROOM),,,Toronto, Ontario,
Island Cottage for weekly rentals,,,Kenora, Ontario,
Blue Mountain's MOST Luxurious,5,12,Blue Mountains, Ontario,home again when planning my next Blue Mountain vacation. I highly
MARINA HOUSE VACATION SUITE,,,Gibsons, British Columbia,
Bannerman House,5,24,St. John's, Newfoundland and Labrador,We parked our rental for most of our  week stay at Bannerman House
New Vacation Suite!,5,4,Port Renfrew, British Columbia,And eat at the Coastal Kitchen when you're in Port Renfrew :)...
Luxury Stone Farmhouse near Montreal & Malone NY,5,3,Huntingdon, Quebec, mention of vacation rentals rental. We came for a vacation and we gained a friend.
Summer Vaction Home,5,3,Borden-Carleton, Prince Edward Island,This vacation home was even better than we had hoped! We had three
Dream Cottage Rental on Georgian Bay,,,Meaford, Ontario,
Grand Marais Cottage Rental,1,,Grand Marais, Manitoba,
Peaceful 3 bd Executive Home on the Columbia River,5,6,Revelstoke, British Columbia, mention of vacation rentals We thoroughly enjoyed our family ski vacation stay at Revelstoke
Eaglesnest Beachfront Vacation Home on Roberts Bay,5,6,Sidney, British Columbia,"Numerous Great Blue Herons, Eagles, and other water fowl populate the bay and of..."
Beautiful Victorian Home Rental,4.5,2,Lethbridge, Alberta,"Quaint, historical, immaculate, reasonableness! Every conceivable convenience and..."
COMMANDER'S KEEP VACATION HOME: The BEST in the BIGHT!,5,13,Trinity, Newfoundland and Labrador,staying somewhere for a vacation. Be prepared for lots of wind on the
"Winter Rental Lighthouse Point, Collingwood, ON",,,Collingwood, Ontario,
"MYRTLE SUITE - MOUNTAIN VIEW; CENTRAL, LOVELY AREA",5,23,Vancouver, British Columbia,", etc. I have stayed in many rentals over the years, and they have it"
Executive Rentals 2 BR + Den in Mississauga - 1907O1,5,3,Mississauga, Ontario,
A Vacation Awaits!!! Outdoor Pool/Hottub in a Wonderful 2 Bedroom Chalet,5,,Canmore, Alberta,
Dwight Out DWIGHTOT,5,5,Big White, British Columbia,This was our first house rental at Big White. We were traveling with
Lake front Cottage,5,4,Gimli, Manitoba," mention of vacation rentals here. Contact the owner, whether for a vacation rental or for an event and you will be so glad you did!"
La Petite Patrie,4.5,3,Montreal, Quebec," mention of vacation rentals I would highly recommend this home as a vacation rental, especially"
Crystal Beach Tennis and Yacht Club Cottage Rental,,,Crystal Beach, Ontario,
"Williams Retreat, Niagara-on-the-Lake",5,10,Niagara-on-the-Lake, Ontario,walk to Zoom Leisure bike rentals (which we rented to visit several
Luxury Vineyard Cottage Rental,,,Niagara-on-the-Lake, Ontario,
"Central, Spacious 3 Bedroom Condo in the Heart of Old Quebec",5,8,Quebec City, Quebec," mention of vacation rentals have stayed in many vacation rentals all over the world, but nothing"
Luxury condo in resort centre with private hot tub. Close to main quad and golf.,4.5,9,Kimberley, British Columbia,"rental! So convenient for skiers/snowboarders, and close to snowmobiling"
Gate Street Cottage,5,21,Niagara-on-the-Lake, Ontario,Rentals was great to work with. We had a very enjoyable long weekend.
Eaglesview escape by the Sea - Royston Vancouver Island BC - Executive Rental,5,5,Royston, British Columbia,would highy recommend Eaglesview Escape by the Sea to anyone looking to have a fantastic vacation.
Salish Sea Beach House Private & Oceanfront,5,20,Sidney, British Columbia,"vacation, good memories – we haven’t had one like that for a long"
Casa Bella Vida,5,3,Osoyoos, British Columbia, mention of vacation rentals kitchen aided in a most enjoyable and memory vacation with the family.
ACACIA VILLA VACATION HOME,4,,Grand Pre, Nova Scotia,Our extended family enjoyed Thanksgiving weekend with the beautiful views over t...
Lake Joseph Muskoka Cottage Rental,,,Mactier, Ontario,
Ontario Wilderness Houseboat Rental,,,Morson, Ontario,
Parksville Area Cedar guest house nestled in woods,5,19,Nanoose Bay, British Columbia,"Terrific cabin, close to all amenities. Amazing vacation. Exceeded"
"3 Bedroom, 600'+ Waterfront, 50+ acres, private",5,11,Spring Bay, Ontario,this rental cottage. We would not hesitate to recommend it to our
Ocean Sunrise,5,3,Saint Andrews, New Brunswick,"time running in the huge backyard. All in all, a perfect vacation."
New fully-furnished apt for rent downtown Montreal,5,8,Montreal, Quebec,were extremely responsive and made the process easy. Perfect for our week vacation!
Modern Sub-penthouse Condo w/ Amazing Views!!!,5,3,Calgary, Alberta, mention of vacation rentals vacation rental for anyone moving away from hotel accommodations.
Ok Falls Condo Rental View and Walk to Skaha Lake,5,9,Okanagan Falls, British Columbia,and yo old for our summer vacation. Searching on google and trip
"Short Term Rental near Health Science, Avalon Mall",4.5,2,St. John's, Newfoundland and Labrador,It was a little high in price but other than that it was very nice. Good location...
Glaciers Reach 18 - Condo with private hot tub located Whistler North Village,5,13,Whistler, British Columbia,"This condo is a perfect rental for - people, summer or winter. The"
Hotel Paulin Seaside Extended Stay Vacations,5,,Caraquet, New Brunswick,
Cabernet House,4.5,12,Niagara-on-the-Lake, Ontario,As an owner of a vacation property on Vancouver Island I am aware of
BEAUTIFUL WATERFRONT CONDO WITH GORGEOUS LAKE VIEW,5,,Toronto, Ontario, mention of vacation rentals Shawn's condo that help it stands out from other vacation rentals that
Cougar Street Mountain Rental,5,,Banff, Alberta,
Park Place STUDIO APT.Vacation Rental,5,,Niagara Falls, Ontario,"i had my own little studio, so fun~ and the hosts are the best!!!!! Niagara in t..."
Suite On Velvet,5,21,Gibsons, British Columbia, mention of vacation rentals ruined us for any other vacation rentals from now on. I’m sure that no
"Mountain Views, Downtown Penthouse Loft, Fireplace, Family/Walking Friendly",4.5,19,Canmore, Alberta,"check-in/out information, the best we have ever received in a rental"
Just Like Home B & B - Your private suite is your home away from home,5,3,Welland, Ontario, mention of vacation rentals We would highly recommend staying at this vacation rental ! From the
Brand New LUXURY Rental Near University,,,Edmonton, Alberta,
Seasonal Rental Chalet in Wasaga,5,,Wasaga Beach, Ontario,
Corner Suite on Citadel Hill,5,,Halifax, Nova Scotia,
"The Little Crooked House - Haileybury hotel alternative, vacation home rental",,,Haileybury, Ontario,
Cobblestone Farm Retreat,5,21,Cobourg, Ontario,for a lovely family vacation. I have also stayed here several times
"The Captain's House, heritage bed and breakfast",4.5,7,Midland, Ontario, mention of vacation rentals Breakfast category to get better exposure as we found it under Vacation Rentals
SAUBLE BEACH-VIEW THE LAKE FROM YOUR KITCHEN WINDOW,4.5,6,Sauble Beach, Ontario,Bruce peninsula must be seen. We enjoyed our vacation Thank you.
Your perfect Getaway at our beautiful Cottage in Paradise!,4.5,13,Lake St. Peter, Ontario,"paddle boat was a great addition to the rental, we used it every day we"
River Rest Vacation Home,5,,Trout River, Newfoundland and Labrador,
Family Cottage rental in North Sauble Beach,,,Sauble Beach, Ontario,
All Season Waterfront Rentals (weekly),4,2,Nelson, British Columbia,vacation home to stay at. Thanks again Kelly & Julie
Luxurious Executive Condo Rental,4.5,2,Mississauga, Ontario,
Large peaceful vacation home with swimming pond,5,,Perth, Ontario,
Seaside Cottage Rental,,,Port Hood, Nova Scotia,
'Beyond the Dunes' cottage rental in Ont. Canada,,,Southampton, Ontario,
Sunset Ridge at Lanes End - Lake View Cottage,5,4,Bayfield, Ontario," mention of vacation rentals This vacation rental is well equipped (BBQ, kayaks, sound system)"
Celebrate & Stay At The Great Chalet Beach /Groups up to 30,4.5,36,Sainte Agathe des Monts, Quebec,rental) made our stay perfect! Would definitely rent again.
Tanglewood Beach House - West Coast Living at its best.,5,6,Parksville, British Columbia,We've rented a lot of vacation homes/cottages here and abroad and the
Diverse Rentals - The Captain's Room,5,2,Penetanguishene, Ontario,"It is hard to say enough about the Flotel. Literally on the water, gorgeous scene..."
The Old Salt,5,15,Pleasant Bay, Nova Scotia,beautiful couple. I strongly recommend this place for a vacation in Nova Scotia
Toad Farm Guesthouse,4.5,7,Tlell, British Columbia,He grew up on the island and knows it well. This made for a very nice vacation for us.
Water View Blind Bay house rental,5,,Blind Bay, British Columbia,This Ropertry is everything it promises to be. The view across the lake is stunni...
Beautiful Suite Rental in Sunny Surrey,5,,Surrey, British Columbia,
REDUCED Awesome Cottage Rental,,,Magnetawan, Ontario,
The Mahugh House,5,4,Sauble Beach, Ontario," mention of vacation rentals I just spent a fantastic week at this clean, comfortable rental home."
Delmar cottage #03 rents from Friday to Friday.,3,,Stanhope, Prince Edward Island," mention of vacation rentals for the third party vacation rental sites, but still needs to correct"
Lakeland Acres,5,10,Halifax, Nova Scotia,Just what I would hope for in a rental. I wasn’t expecting the
Beautiful Furnished Westmount Short Term Rental,,,Kitchener, Ontario,
5 bedroom vacation home Niagara,,,Niagara Falls, Ontario,
A Vacation Paradise in the Okanagan Valley,,,Kelowna, British Columbia,
Studio near Concordia University's Loyola campus,4.5,4,Montreal, Quebec, mention of vacation rentals Everything we had hoped for in a vacation rental. Easy to get to
Ivy Lea Suites,5,8,Lansdowne, Ontario," mention of vacation rentals occasions and have found a lack of B&B, boutique hotels and vacation"
"Upscale Executive Sleeps 8, 3BR 3BA with Garage,10mins to RCMP, EVRAZ Place,YQR",5,24,Regina, Saskatchewan,sure their guests have the best possible vacation. From maps and
Charming 1+1 Ajax basement apartment rental,,,Toronto, Ontario,
ABOVE DA ATLANTIC Vacation Home,5,8,Twillingate, Newfoundland and Labrador,
Beach Paradise! Unmatchable Oceanview Hot Tub!,5,4,Cape Traverse, Prince Edward Island, mention of vacation rentals vacation rentals I could find in PEI that would allow for all the
Plateau Mont-Royal / 4 bed + 4 bath + patio,4.5,7,Montreal, Quebec,"instantly. I would % recommend this rental for anyone, big group or small group!"
One cottage for weekly rental in the hamlet of SouthBaymouth by the ferry,,,South Baymouth, Ontario,
Prime Village Location Ski In Ski Out by Harmony Whistler,5,,Whistler, British Columbia," mention of vacation rentals for a nice ski vacation. This one bedroom,  bath condo includes a"
Home Sweet Home/Amazing view in Old Montreal,5,9,Montreal, Quebec,enjoy Old Montreal! This year we thought we would try a condo rental
Lakeview Vacation Suite,5,3,West Kelowna, British Columbia,Found this wonderful spot after making last-minute plans to stay in West Kelowna...
Beautiful 3 Bedroom Vacation Home Close to Beaches,4,,Saint Peters Bay, Prince Edward Island,"One enters into a mudroom with sufficient cubbies, hooks, shelves and upper cupb..."
Niagara Falls Family Vacation Home - SALE - HALF OFF CLEANING until Monday!,,,Niagara Falls, Ontario,
Country house located on a farm,4.5,6,Roxton Pond, Quebec, mention of vacation rentals Booking: TripAdvisor Vacation Rentals was easy. Made contact with
Executive Towhhouse for Short Term Rental,,,Kitchener, Ontario,
"Memory Bay Cottage on Pike Bay, Bruce Peninsula",5,8,Red Bay, Ontario," mention of vacation rentals quick writing emails with my many, many questions back and forth. Would highly recommend this vacation rental."
Fabulous One Bedroom Short Term Rental for Couples,5,,St. John's, Newfoundland and Labrador,
Niagara On The Green 5,4.5,2,Niagara-on-the-Lake, Ontario, mention of vacation rentals We were looking out for a resonably price rental place which could
Double Room rental,,,Toronto, Ontario,
The Bellevarde Chalet Unit C at Big White Resort,4.5,19,Big White, British Columbia,The Belvedere Chalet C was a perfect spot for our family vacation
Hillhouse Vacation Home,,,Knowlton, Quebec,
"Furnished Rental 3 Bedroom Suite in Ovation Towers, Mississauga",4,2,Mississauga, Ontario,
"Executive Rental 1 Bedroom in City Centre, Mississauga - 9021613",5,2,Mississauga, Ontario,
Updated Spacious 'Home away from home',4.5,11,Nanaimo, British Columbia,Owners live in a house above two of the rentals units. The larger
"Waterfront vacation retreat, so cozy so beautiful, million dollar water view!",,,Saint Williams, Ontario,
Nanmark's Lighthouse Resort - Sportsman Cottage,5,4,Callander, Ontario,"Nice place to have vacation, amazing sunset, wery clean and renovated"
Classic Arts and Crafts 30's Mansion Goes Modern,5,9,Victoria, British Columbia, mention of vacation rentals the top floor and ULTRA CLEAN. We have done vacation rentals before but
Le Fitchbay - Country House with Spa,5,4,Stanstead, Quebec,"come with a rental of such. Well, it was fabulous. Firstly, the hosts"
Elements Luxury Loft House Rental & Spa by the Sea,4,,Campbell River, British Columbia,
"Sauble Beach - 'My Holiday Inn' - Ontario, Canada",5,4,Sauble Beach, Ontario,We came for a wedding and had the opportunity to see other rentals
Pacific Peace Retreat Beach Room,5,4,Sechelt, British Columbia, mention of vacation rentals I spent two nights at this vacation rental with my parents and had a
Magdalen Islands rental - Blanche de l'Ouest,5,11,Havre-Aubert, Quebec,
"Modern Vacation Condo Collingwood min from Lake, Blue Mountain and Spa",5,4,Collingwood, Ontario,We stayed at Anna and Greg's vacation apartment and it was a great
Haven in the Willows,4.5,14,Haines Junction, Yukon,"weekend getaway, or even a week long vacation – after two nights, we"
Sealbourne Vacation Home,5,5,Qualicum Beach, British Columbia,
Millwoods Vacation Home,,,Edmonton, Alberta,
Powell River South . holiday rental.,,,Powell River, British Columbia,
The Suites at Secret Cove Treehouse,5,16,Halfmoon Bay, British Columbia, mention of vacation rentals This is truly one of the most romantic and high-end vacation rentals
Furnished Renovated Short/Long Term Rental,,,Edmonton, Alberta,
Central NEW private apartment W garage & balcony!,5,7,Ottawa, Ontario, mention of vacation rentals Our first time in a vacation rental. We liked just about everything
Bluewaters Retreat Vacation Home,5,2,Vernon Bridge, Prince Edward Island,We just got back from a full week vacation at the Bluewater’s
EXECUTIVE CONDO RENTAL,,,Edmonton, Alberta,
ROSEDALE AT ROBSON downtown Vancouver condominium,4.5,11,Vancouver, British Columbia,week. Good value for the price too. Not to mention booking Vacation
Balm Beach rental,5,,Balm Beach, Ontario,
Pied-a-Terre /short term rental,,,Trois-Rivieres, Quebec,
Oceanfront Coastal Views,5,6,Courtenay, British Columbia,This was our second time staying in this rental and both times it was
Century-old barn converted in strawbale house,4.5,2,Bromont, Quebec,"has created a wonderful, clean, and comfortable vacation place for a small group of friends or family."
Deluxe Winter cabin rental on Lake of the Woods,,,Sioux Narrows, Ontario,
Mountain Star #25,4.5,9,Whistler, British Columbia,unforgettable vacation with the best skiing I have ever had!
Sun Dew Cottage Summer Rental - Nova Scotia,,,Pleasantville, Nova Scotia,
Mac's Shacks Waterfront Cottage Rentals - The Cedars - 3 Season,4.5,5,Bruce Peninsula, Ontario,perfect for a multi/family vacation. The amenities and grounds and very
Diverse Rentals The Skipper's Room,5,,Penetanguishene, Ontario,"unique experience, hotel on a floating dock. Clean, large accommodations, with st..."
91 Glaciers Reach this 2br home has a hot tub & pool in Whistler Village,4.5,19,Whistler, British Columbia,Our rental was great except for the twin beds in the second bedroom.
A Doll House Cottage in Old Town,4.5,26,Niagara-on-the-Lake, Ontario," mention of vacation rentals superior vacation rental place in Tofino, B. C. for the same price."
Havenside Cottage,4.5,3,Barrington, Nova Scotia,"This rental was in a perfect ocean-front local, very private"
Luxury Canmore Vacations - 2 Bedroom Amazing Condo Unit!,5,2,Canmore, Alberta,"As a beach lover, I wasn't as excited about our Canmore vacation as"
"RV for Rent, Rental 29 FT Citation",,,Victoria, British Columbia,
"Beautiful Quiet Cottage on Fox Lake in Huntsville, Ontario",5,4,Huntsville, Ontario,My family likes quiet cottage vacations and this place is very quiet
Diverse Rentals- The lieutenant Room,,,Penetanguishene, Ontario,
Cottage rental - Lake Memphremagog,,,Austin, Quebec,
vancouver west vacation house,,,Vancouver, British Columbia,
"Captain's Quarters-vintage remodel, 3bedroom,2bath",5,9,Niagara-on-the-Lake, Ontario, mention of vacation rentals this time we stayed for  nights. Ours rental condo was exactly what
Hot Tub & Waterfront / Doc Holiday Cabin by Natural Elements Rentals,5,3,Ucluelet, British Columbia," mention of vacation rentals recommend this holiday rental. Thanks for being so accommodating, and"
Upscale! 3 BR Executive Townhouse Nw Calgary,5,3,Calgary, Alberta, mention of vacation rentals better than staying in a hotel. We would highly recommend this vacation rental.
Oceanfront vacation home,,,Chemainus, British Columbia,
"Penny's Place ....Upscale, Safe & Clean",5,6,Langford, British Columbia,"recommend Penny's Place for a relaxing vacation, as a place to stay while"
Victoria Area Deep Cove Ocean Front 5 Bedroom Private Vacation Home,5,,North Saanich, British Columbia,The house is located on a quiet cul-de-sac surrounded by trees and silence. There...
Charlevoix. Earth's paradise,5,3,Saint-Irenee, Quebec, mention of vacation rentals This is by far one of the best vacation rentals we've booked. The
Luxury House - Upper Beaches Toronto,5,,Toronto, Ontario, mention of vacation rentals favorite vacation spot. We only hope that Valia is still involved in the
Mara Lake Sicamous BC vacaction lakefront rental,,,Sicamous, British Columbia,
Cottage rental from $ 30 per person,,,Petite-Riviere-Saint-Francois, Quebec,
Family Vacation Home,,,Sechelt, British Columbia,
Symphony 9 - Hot tub access & free wi fi on free shuttle route,4,8,Whistler, British Columbia,term rental. The property is at the north end of the village (past
Very Nice Vacation Cottage with Ocean view,,,Musquodoboit Harbour, Nova Scotia,
Studio de Village,4.5,4,Wellington, Ontario, mention of vacation rentals This rental is a cozy house. We are using it as a base for sight
The Old Salt Box Co. Aunt Glady's,5,5,Fogo Island, Newfoundland and Labrador, mention of vacation rentals by the picture windows in our vacation rental. It was an incredible experience and one that I will never forget.
Log Cabin 30 minutes from Mont Tremblant,4,5,Labelle, Quebec,"little surprise that in addition to rental payment, $ cash is"
"Chez Edmond Vacation Home - Located Grand-Etang, Cape Breton Island.",5,3,Grand Etang, Nova Scotia,Leandre is a great host. We will definitely stay at Chez again next time we go to...
Fully Furnished Rental,,,Montreal, Quebec,
Cozy vacation home in Thornbury,,,Thornbury, Ontario,
Mountain Vacation Condo | Fireplace + Outdoor Hot Tub + Heated Pool,,,Canmore, Alberta,
Upscale Furnished 2 Bedroom Plus Den,4,5,Richmond, British Columbia, mention of vacation rentals We really enjoyed our stay in this vacation rental. The place was
Large Eagle Crest Townhome located on 'The Springs 'Golf Course,5,12,Radium Hot Springs, British Columbia,"Great rental for a family with kids. Lots of amenities close by, and easy access to the lake in Invermere."
"Executive Rental in the Heart of the City, Perfect for Families!",5,2,Edmonton, Alberta,
AMAZING WATERFRONT/WINE COUNTRY HOUSE FOR RENT!!,5,2,Vineland, Ontario," mention of vacation rentals stay, the house had everything we were looking for in a vacation"
Deluxe Romantic Couples Cottage With Ocean Views,5,3,Halfmoon Bay, British Columbia, mention of vacation rentals best rentals we have ever booked. It is even more lovely than the
"Hidden Gem, Family Vacation Paradise",,,Summerland, British Columbia,
Bigwin Condo Studio Rental,,,Ontario, Canada,
Diverse Rentals The Admirals Room,,,Penetanguishene, Ontario,
A Stone's Throw Lake House in Kincardine (week-long rentals only),4.5,2,Kincardine, Ontario,
FlipKey Relaxing Family-Friendly Mountain Home,5,7,Radium Hot Springs, British Columbia, mention of vacation rentals I was very happy with this vacation rental. It was well kept and had
SKI SEASON RENTAL Paradise Point Waterfront,,,Collingwood, Ontario,
Sand Point House - Ocean Front Vacation Home,,,Guysborough, Nova Scotia,
Banff Condo Rental 1 Week August long Weekend,,,Banff, Alberta,
Conley Drinkwater Cottage Rental - Steenburg Lake,,,Gilmour, Ontario,
Spend your summer vacation in this lovely home.,4,,Kelowna, British Columbia,The property is in a good location on the outskirts of Kelowna and well-situated...
